Wavelength,Relative intensity
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,4
440,4
441,4
442,4
443,4
444,5
445,5
446,5
447,5
448,6
449,6
450,6
451,7
452,7
453,8
454,8
455,8
456,9
457,10
458,10
459,11
460,11
461,12
462,12
463,13
464,14
465,14
466,15
467,16
468,17
469,17
470,18
471,19
472,20
473,21
474,22
475,23
476,24
477,26
478,27
479,29
480,30
481,32
482,34
483,35
484,37
485,39
486,41
487,44
488,46
489,48
490,50
491,53
492,55
493,57
494,59
495,62
496,64
497,65
498,67
499,69
500,70
501,71
502,72
503,73
504,74
505,74
506,75
507,75
508,76
509,77
510,78
511,79
512,80
513,81
514,83
515,85
516,87
517,89
518,91
519,93
520,94
521,96
522,98
523,99
524,100
525,100
526,100
527,99
528,98
529,97
530,95
531,92
532,89
533,86
534,82
535,78
536,74
537,69
538,64
539,59
540,55
541,50
542,46
543,41
544,37
545,33
546,30
547,26
548,23
549,21
550,18
551,16
552,14
553,12
554,11
555,9
556,8
557,7
558,6
559,6
560,5
561,4
562,4
563,4
564,3
565,3
566,3
567,3
568,2
569,2
570,2
571,2
572,2
573,2
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0